,Conteo de patrocinadores,Descripción,Objetivo,Nombre del proyecto,Estatus,Ubicación (por estado),Recaudado,Creador(a),Categoría
566,31,Candy Girls es un calendario con ilustraciones originales del artista Daniel Salcedo CAT MAN.,70200,CANDY GIRLS Por Cat Man | Calendario 2020,Fallido,Baja California,23278,Daniel Salcedo,Arte
567,31,"Una colección de ensayos sobre cultura pop, discos punk, cómics, fanzines, etc, para cuestionar conceptos como lo normal y la violencia",20000,"Autos, moda y discos punk: un libro de ensayos",Exitoso,Distrito Federal,23248,Mariana Orantes,Editorial
568,31,"La alfarería del grupo Ieskani fue selccionada para presentarse en NY NOW, dónde podrán vender a nivel global. !Hagámoslo realidad!",20000,Alfareria purépecha en New York,Exitoso,Baja California,22650,RETDES,Artesanía
569,31,Vngravity es una plataforma de arte virtual que genera entornos 3D distintos en cada exposición. VIRTUAL ART MUTATING GALLERY.,115000,VNGRAVITY A VIRTUAL GALLERY.,Fallido,Distrito Federal,19860,VNGRAVITY,Arte
570,31,"NEW BRAND - NEW CONCEPT - LIMITED EDITION
DESIGNED FOR CARDISTRY AND MAGIC",85800,UNDERGROUND PLAYING CARDS,Fallido,Baja California,18338,Underground Co.,Juegos
571,31,"""Potzonalli es una comedia salvaje de horror que formará parte de la antología de cine de horror México Bárbaro 2.""",65000,Potzonalli,Fallido,Distrito Federal,16080,Fernando Urdapilleta,Cine y video
572,31,"""Blood over Innsmouth"" is a digital comic by Unusual Scripts, That narrates the events previous to ""Shadow over Innsmouth""",10250,Sangre sobre Innsmouth,Exitoso,Distrito Federal,10450,Daniel Arroyo,Cómic
573,31,Una serie de ciencia ficción y drama juvenil para plataformas digitales.,40000,F-R-E-A-K-S,Fallido,Veracruz-Llave,4080,Pripyat Studios,Cine y video
574,30,A replica of the Velafrons Coahuilensis and a head of a T. Rex covered in multi-colored beads in the style of the Huichol Indian.,150000,"Ichiro, Sacred Beings.",Exitoso,Coahuila de Zaragoza,150675,Sarahi Carrillo,Arte
575,30,CORTOMETRAJE PARA RALLY GIFF 2019,80000,Sequía Giff - Short film,Exitoso,Guanajuato,80008,Sequía Shortfilm,Cine y video
576,30,"Vanessa, is the story of a woman with a mark, who chooses a forbidden lifestyle obtaining pleasure, witnessing it in others.",60000,Vanessa - Short Film,Exitoso,Baja California,63025,María Leonor Quiroga Zárate,Cine y video
577,30,Una mujer ayuda al bien morir de los enfermos.,60000,"""La petición"" Cortometraje de ficción situado en los años 40",Exitoso,Baja California,62118,Rubí Salles,Cine y video
578,30,"Una colección de textos e ilustraciones en la búsqueda del infinito femenino, una ventana para mirarse de manera diversa y libre.",60000,Mexico Creates - Bestiario Femenino,Exitoso,Mexico,60518,Rebeca García y Gabriela Gutiérrez,Editorial
579,30,Un cortometraje acerca de amor y personalidades complejas.,50000,Muñequita,Exitoso,Distrito Federal,50929,Arturo Jara Kafuri,Cine y video
580,30,Un homenaje al cine de ciencia ficción de bajo presupuesto de 1950.,33000,El Físico en el Espacio Exterior,Exitoso,Mexico,50078,Montserrat Castro,Cine y video
581,30,"Estamos creando obras musicales majestuosas, inauditas, impecables y llenas de pasión: un album que trascenderá todas las fronteras.",50000,"""Pieces of Eternity""",Exitoso,Baja California,50040,The Last Grounds,Música
582,30,"""Hacer la Noche” es un cortometraje que habla de las consecuencias del miedo.",50000,Hacer la Noche,Exitoso,Distrito Federal,50020,Hacer la Noche,Cine y video
583,30,Obra de titulación de la generación 2015 - 2019 de La Casa del Teatro.,30000,La Séptima Morada,Exitoso,Distrito Federal,38050,Daniel Alejandro Perez Pineda,Teatro
584,30,Concurso de Teatro Estudiantil donde se invita a los alumnos a vivir la experiencia de participar en una puesta en escena.,35000,Concurso de Teatro Estudiantil CCH-N,Exitoso,Mexico,36950,Enrique Azúa Alatorre,Teatro
585,30,Cortometraje universitario con el fin de promover el talento mexicano e inculcar el valor de la honestidad a travez de la comedia.,30000,Los Charlatanes,Exitoso,Distrito Federal,36818,Barbara Rivas Vilchez,Cine y video
586,30,"Cortometraje de genero samurái que cuenta la historia de Takezo, un samurái con un pasado violento que busca redimirse de sus crímenes.",27467,El condenado // The condemned,Exitoso,Veracruz-Llave,28084,Julio Ramos,Cine y video
587,30,Obra de teatro cabaret.,25000,"Cabaret en tiempos de mitos, leyendas y otras mentiras.",Exitoso,Jalisco,25351,Pável Estrella,Arte
588,30,Somos 4 amigos músicos que creen que aprecias cuando un disco se hace con el corazón. ¡Ven! ¡Te invitamos a juntos hacer historia!,180000,#PrestaPaLaOrquesta,Fallido,Distrito Federal,23428,Loreto,Música
589,30,Colororo is a mobile game that will show you how to mix and match colors in a fun and intuitive way.,45000,Colororo,Fallido,Baja California,22170,Laura Quintanilla,Juegos
590,30,"Ayuda a realizar la segunda expedición de Los Juegos del Leviatán, proyecto de investigación simbólica y cultural con ballenas grises.",15000,Poesía para ballenas,Exitoso,Baja California,18000,Fernando Martín Velazco,Arte
591,30,A 15m2 Contemporary Art Gallery in Mexico City. Support and Show your Talent!,15000,PROGRESO Art Gallery,Exitoso,Distrito Federal,15630,Aldo Iram Juárez,Arte
592,30,Back to Basics es una recopilación de varios artistas para traer lo mejor del anime BL del pasado al presente en hermosas ilustraciones,30000,Back to Basics: Classic BL Animation Fanbook,Fallido,Sonora,8668,Abigail Quiroz,Arte
593,29,"INTERflamenca, compañía interdisciplinaria mexicana de artes escénicas, viaja a Argentina por primera vez. ¡Ayúdanos a lograrlo!",70000,INTERflamenca en Argentina: ¡Ayúdanos a conseguirlo!,Exitoso,Baja California,70761,INTERflamenca,Danza
594,29,Cortometraje de fantasía  |  A fantasy shortfilm,60000,Los dinosaurios ya no existen (Canceled),Cancelado,Distrito Federal,55328,Jaz Martínez,Cine y video
595,29,"'Esther' retrata un fragmento de la vida de una estresada madre soltera que busca huir de la realidad, perdiendo la cordura.",55000,Esther,Exitoso,Baja California,55016,Natifer Rábago,Cine y video
596,29,"Somos una banda electro-lounge independiente de Guadalajara Jal,",45000,SUNSET PARTY LOVE,Exitoso,Baja California,45133,Sunset Party Love,Música
597,29,"My passion is to create works of art where I can transmit all kinds of feelings, move emotions through my creativity",120000,Paulina Carretero - Passion for expressive creation,Fallido,Jalisco,45040,Paulina Carretero Quezada,Arte
598,29,Cortometraje de fantasía y romance,40000,Ojos de aceituna,Exitoso,Baja California,40418,Ojos de aceituna,Cine y video
599,29,"En una noche cualquiera, una conversación única, puede cambiarte la vida.",30000,Baile de Colchón.,Exitoso,Distrito Federal,36953,J.M. Mariscal,Cine y video
600,29,Cortometraje de sci-fi,35000,El último Recuerdo / The last memory,Exitoso,Michoacan de Ocampo,35900,El último Recuerdo,Cine y video
601,29,"Wall hanger inspired by the passion of Mexican viewers, designed to bring happiness to a place.",26100,Perchero LA OLA MEXICANA,Exitoso,Distrito Federal,33300,Erandy Saraí Jurado Huerta,Artesanía
602,29,"Somos un grupo musical de Pop y R&B formado por: Ala, Lari, Mel y Sonia. Tenemos un mensaje importante que dar a través de la música.",25500,"""Concierto lanzamiento CAREY""",Exitoso,Distrito Federal,25650,Melanie Bengoechea,Música
603,29,Gira de la obra de teatro ANDARES por las comunidades mayas de Campeche y Yucatán.,25000,Tour/Gira de ANDARES - Makuyeika: Colectivo Teatral,Exitoso,Campeche,25548,Flores Komatsu,Teatro
604,29,"-Mexican Folklor Dance Performance - 
SMACHT ACADEMY representará a México en RUSIA en competencia internacional de FOLKLOR.",22000,SMACHT - Mexican Folklor Dance performance,Exitoso,Chihuahua,22023,Oscar Peinado Romero,Danza
605,29,"Obra mexicana seleccionada para el Festival Internacional de Teatro Universitario de El Cairo, Egipto.",20000,Maldita sea la sangre,Exitoso,Mexico,20087,Daniel Alejandro Perez Pineda,Teatro
606,29,Herramienta única que te ayudará ser más eficiente y tener el control del progreso y avance a tus metas.,150000,ELCO. Agenda Motivacional / ELCO. Motivational Planner,Fallido,Distrito Federal,8271,Carolina Fernández Poucell,Editorial
607,28,Puesta en escena que usa el combate escénico como herramienta narrativa de una reinterpretación contemporánea de “Áyax” de Sófocles.,60000,"Huma.no, de Juan Carrillo",Exitoso,Distrito Federal,60018,Elena Gore,Teatro
608,28,BULL'S EYE / Shortfilm about how invisible child abuse can be.,43000,OJO DE BUEY / Lo invisible que es el abuso infantil.,Exitoso,Distrito Federal,43068,Minerva Rivera Bolaños,Cine y video
609,28,"Un encuentro para los creadores escénicos de habla hispana en Mérida, México.",40000,II Festival Internacional de Monólogos de Casa Tanicho,Exitoso,Yucatan,40200,Jorge Iván Rubio Ortiz,Teatro
610,28,"A story of love, lost and memories. 
Filmed in Cuba & Mexico.",30000,The Blue Fish,Exitoso,Distrito Federal,36030,Aram Vidal,Cine y video
611,28,Producción de serie de piezas arte-objeto con una visión del futuro: la naturaleza reconquistará las estructuras creadas por el humano.,28000,La reconquista - escultura utilitaria de cerámica,Exitoso,Distrito Federal,33807,Laila Salomón,Arte
612,28,Handbound edition of the famous novel by Oscar Wilde,100000,"""The Picture of Dorian Gray"" by Oscar Wilde New Edition",Fallido,Queretaro de Arteaga,33085,Joaquin De La Sierra,Editorial
613,28,"Laúdes y Cuentos es una oda para los soñadores que no se rinden hasta ver sus sueños vueltos realidad, fundamentado en H. P. Lovecraft.",30000,Reckoning: Laúdes y Cuentos,Exitoso,Mexico,30030,Reckoning Mx,Música
614,28,Un documental sobre la historia de un artesano/A documentary about the history of an artisan,30000,Mi Herencia Documental,Exitoso,Guanajuato,30001,Andrea Monserratt Diosdado Rivera,Cine y video
615,28,"Liana tiene problemas con su madre Ester, quien la obliga a llevar una terapia de conversión al no aceptar su orientación sexual.",25000,Los Muros Que Nos Separan,Exitoso,Baja California,26150,Gisell Ortiz,Cine y video
616,28,Cortometraje estudiantil donde se trata el tema de los migrantes mexicanos. Apoya nuestro proyecto para que nuestro mensaje trascienda.,20000,Efímero,Exitoso,Baja California,21415,Mezcal Producciones,Cine y video
617,28,Magical Enamel pins,5600,Season Witches Part 2 Enamel Pins,Exitoso,Quintana Roo,16708,Isabel Rivera,Arte
618,28,Exposición de fotografía erótica.,15000,Vathek: Exposición Fotográfica,Exitoso,Distrito Federal,16220,Jimena Pacheco Elizondo,Fotografía
619,28,A guided tour through the rooms of a real motel where short plays and artistic installations around violence are executed,14000,MOTEL,Exitoso,Baja California,15850,CARLOS ARNULFO DIAZ MANCILLA,Teatro
620,28,For limited time! a pin inspired by the favorite usagi of the 90's!,3000,LIMITED TIME: Moon Rabbit Enamel Pin,Exitoso,Nuevo Leon,15600,Angelus,Artesanía
621,28,Participa en la producción del nuevo álbum Puerta de Tierra / Help fund new album from ATVERSUS - Melodic Power Metal,65000,Puerta de Tierra - Nuevo Álbum de ATVERSUS (New Album),Fallido,Yucatan,15473,ATVERSUS,Música
622,28,A Spec Ops team was sent to a planet to investigate a disappearance of a research team. What lies beneath this god-forsaken planet?,5000,PARADISE LOST: COSMIC HORROR FPS,Exitoso,Campeche,10702,JEPR DEV,Juegos
623,28,"Gente: ayúdenme a publicar mi primer libro llamado Apología del extravío, editado por Gorrión Editorial.",10000,Publicación de Apología del extravío,Exitoso,Distrito Federal,10300,Emiliano,Editorial
624,28,"Pins Estelares del proyecto Misión Conejo Estelar. Una iniciativa de difusión del conocimiento astronómico, astrofísico y aeroespacial.",17744,Pin Estelar,Fallido,Distrito Federal,7428,Héctor Gerardo Reyes Bautista,Diseño
625,27,"Un documental que retrata a una familia de mexicanos en Estados Unidos, California; su proceso de adaptación y resistencia.",37000,No pasa mucho por aquí//Not much happens in Santa Ana street,Exitoso,Baja California,41051,Andrea Hornedo,Cine y video
626,27,Es una plataforma escénica de flamenco creada por la bailaora Maria José Valdés en la que se busca impulsar jóvenes talentos.,28000,Coalición Flamenca 2017,Exitoso,Aguascalientes,31370,Maria José Valdés,Danza
627,27,Azul Sonrisa es un cortometraje animado sobre la amistad y el cáncer. Azul Sonrisa is an animated short about friendship and cancer.,18000,Azul Sonrisa (Cortometraje Animado/Animated Short Film),Exitoso,Queretaro de Arteaga,27218,Mariana Gómez,Cine y video
628,27,Somos Jorge y Rolando apasionados por la música y nos encantaría hacerte vibrar con nuestras canciones,25000,Canciones hechas con el Corazón y cantadas con el Alma,Exitoso,Coahuila de Zaragoza,25700,Rolando Hernández,Música
629,27,Toda mujer debería sentirse libre y aventurarse al mundo sin miedo. Este filme apela a generar el cambio a través de la empatía.,25000,La Vena del Henequén,Exitoso,Queretaro de Arteaga,25638,Gladys GL,Cine y video
630,27,"Buscamos proveer una plataforma en la que la que existan clases, conferencias y batallas de varios estílos de danza.",25000,Da Bloc Partay,Exitoso,Baja California,25130,Viridiana Castelao,Danza
631,27,"Ayudar es crear. \r
Help is create.",24000,Un Día Como Hoy,Exitoso,Baja California,24000,Cortometraje  Haro,Cine y video
632,27,"Eugenia se vive estancada en su matrimonio con Antonio, siente la necesidad de acabar con esa etapa de su vida, pero no sabe cómo.",15000,Verdugo Y Mártir,Exitoso,Distrito Federal,17390,Verdugo y Mártir,Cine y video
633,27,Hacemos música con los sueños. Te invitamos a soñar juntos en la grabación de nuestro tercer disco de estudio.,10000,Tesla Pox: El Inefable Mundo de los Nefelibatas,Exitoso,Baja California,13599,Tesla Pox,Música
634,27,A set of spooky yet cute little halloween themed mermaid pins!,12900,~Spooky Mermaids~ : enamel pin set,Exitoso,Jalisco,13369,Mara,Arte
635,27,"Festival de jazz en San Luis Potosí, México, que reúne a grandes exponentes en torno a espectáculos musicales y actividades académicas.",170000,IV Festival Internacional de Jazz Jorge Martinez Zapata,Fallido,San Luis Potosi,12100,Colectivo San Luis Jazz,Música
636,27,The first short film by Oscar Alfonso Diaz Gonzalez.,4500,"Help us make ""Tetera""",Exitoso,Mexico,5700,Tetera - Shortfilm,Cine y video
637,26,"Apoyemos a Lucy para que pueda representar a México en Italia, tomar clases con grandes maestros y tocar en importantes escenarios.",80000,Luciana Muraira en Italia: Semper Music Festival,Exitoso,Nuevo Leon,80700,Miriam De la Garza,Música
638,26,Un cortometraje de titulación universitaria sobre el autorreconocimiento y vivir la vida de uno mismo.,50000,SIA: Súper Inteligencia Artificial,Exitoso,Baja California,59418,José Luis Vidales Peña,Cine y video
639,26,"Somos Teatro Rodante de Colima, México, con tu apoyo viajaremos a Tenerife, España al Mercado de Artes Performativas del Atlantico Sur.",50000,Obra de títeres Cero Aguacero de Teatro Rodante,Exitoso,Colima,53350,Francisco Lozano Moreno,Teatro
640,26,Pedimos tu apoyo para la publicación del catálogo con 50 exposiciones site specific realizadas en este espacio sin fines de lucro.,50000,Artere-a Catálogo de exposiciones,Exitoso,Baja California,50740,Raúl Rebolledo & Omar Guerra,Arte
641,26,"Si tuvieras la oportunidad de estar con un ser querido que falleció, ¿la tomarías?",50000,Peces en el Agua,Exitoso,Distrito Federal,50000,Juan Manuel Mancilla,Cine y video
642,26,Es una iniciativa de participación ciudadana para la construcción social del hábitat como medio para desarrollar personas y comunidades,30000,Proyecto La Loma,Exitoso,Queretaro de Arteaga,33300,Azu Vega Cabuto,Diseño
