,Proyecto,Autor(a),País,Descripción,Descripción (limpia),Palabras clave,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
1072,LA SONRISA ESCONDIDA,Ruido Blanco Cine,Argentina,"Largometraje argentino, ópera prima y tesis FADU por la carrera de Diseño de Imagen y Sonido. Cátedra BLANCO. 2017.",largometraje argentino ópera prima tesis fadu carrera diseño imagen sonido cátedra blanco, catedra   argentino   sonido ,2533,51,3500,13,Cine y video
1073,CEIBO DOCUMENTAL,Agustín Carri,Argentina,"Proyecto documental sobre restauración ecológica. Por 15 pesos, plantamos un árbol autóctono en tu nombre en una escuela rural argentina!",proyecto documental restauración ecológica pesos plantamos árbol autóctono nombre escuela rural argentina, documental   escuela rural ,5038,51,20700,78,Cine y video
1074,"SOBERANÍA, DOCUMENTAL",Cesar Gonzalo Fuenzalida Guzmán,Chile,Documental acerca de la crisis ecosocial en el mar del archipiélago de Chiloé del 2016,documental acerca crisis ecosocial mar archipiélago chiloé, archipielago   acerca   mar ,33620,51,11100,38,Cine y video
1075,ANTUCO ROQUE & LOS CAMINANTES,Roque y Los Caminantes,Chile,"""Antuco"" es una mirada interna sobre los delirios y las alucinaciones experimentadas por uno de los 45 soldados",antuco mirada interna delirios alucinaciones experimentadas soldados, mirada   alucinaciones experimentadas ,8852,51,3700,13,Cine y video
1076,BAJO LA CORTEZA - TEASER,Bajo la Corteza,Argentina,Bajo la Corteza es una película de ficción que deja entrever el problema de los incendios forestales en las sierras cordobesas.,bajo corteza película ficción deja entrever problema incendios forestales sierras cordobesas, corteza   forestales sierras ,10163,51,4800,53,Cine y video
1077,OBSESIÓN 3,M/M Producciones,Argentina,"Apoyanos a concluir esta historia de secretos, engaños, peligros y por sobre todo obsesiones",apoyanos concluir historia secretos engaños peligros obsesiones, peligros   concluir historia ,15180,51,2700,78,Cine y video
1078,DESCENSO - CORTOMETRAJE,FlamencoAudiovisual,Argentina,Somos un equipo de estudiantes de Diseño de Imagen y Sonido (FADU – UBA). DESCENSO es nuestra tesis final de la carrera.,equipo estudiantes diseño imagen sonido fadu uba descenso tesis final carrera, estudiantes   tesis final ,8480,51,2200,60,Cine y video
1079,A PESAR DE LA ERA,Tomás Amante,Argentina,"Sumate a la producción de mi nuevo disco y su show presentación en el mes de Noviembre. Discos, Entradas y un Show Intimo como recompensas.",sumate producción nuevo disco show presentación mes noviembre discos entradas show intimo recompensas, disco   discos   produccion   mes ,4232,51,6500,456,Música
1080,NON CABARET,Banda Teatral Sujeto tAcito,Argentina,Non Cabaret es un espectáculo multidisciplinario. Prepárate para recorrer el suburbio de Buenos Aires.,non cabaret espectáculo multidisciplinario prepárate recorrer suburbio buenos aires, cabaret   suburbio buenos ,2036,51,7700,36,Música
1081,LA ZONA ELEGIDA,Ariel Conti,Argentina,"Largometraje de suspenso, filmado en el Valle de Calamuchita, con la gran mayoría de técnicos y actores del lugar.",largometraje suspenso filmado valle calamuchita gran mayoría técnicos actores lugar, actores   suspenso filmado ,6552,50,6500,30,Cine y video
1082,"MI PRIMER DISCO, AYUDA!",Agustina Leoni,Argentina,"Soy Agustina Leoni, cantautora argentina, porteña y quiero grabar mi primer disco para que cantemos todos! Me ayudas?",agustina leoni cantautora argentina porteña quiero grabar primer disco cantemos ayudas, cantemos   leoni cantautora ,6572,50,16100,62,Música
1083,"MALVINA, LA PELÍCULA",Matías Pavía,Argentina,"Una madre es doblegada ante sus miedos mas profundos, mientras espera que su hijo regrese de la guerra.",madre doblegada miedos profundos mientras espera hijo regrese guerra, doblegada   hijo regrese ,3608,50,13900,581,Cine y video
1084,¡SÉ PARTE DEL PRIMER DISCO!,Los Círculos Polares,Argentina,"Ya tenemos listas las canciones, ahora queremos grabarlas y sacar nuestro primer disco ¡Contamos con tu ayuda para completar esta etapa!",listas canciones ahora queremos grabarlas sacar primer disco contamos ayuda completar etapa, canciones   ayuda completar ,9804,50,2900,14,Música
1085,AYÚDANOS A VOLAR,MarceB,Argentina,"Hace apenas un año estrenamos ""Jueves de Comadres"" en Saladillo y ahora, llevamos teatro argentino a Europa ¡Te necesitamos para volar!",hace apenas año estrenamos jueves comadres saladillo ahora llevamos teatro argentino europa necesitamos volar, apenas   europa necesitamos ,4967,50,1700,29,Artes escénicas
1086,¿QUE ES BILDO?,kaeltolas,Argentina,"Ayudame a revolucionar la industria de los videojuegos en america latina, con el lanzamiento de mi primer videojuego independiente!!",ayudame revolucionar industria videojuegos america latina lanzamiento primer videojuego independiente, videojuego   revolucionar industria videojuegos ,16495,50,51300,245,Juegos
1087,CICLO DEL AGUA EP,Pepa Diaz,Chile,"La posibilidad de grabar en estudio está muy cerca, si te gusta mi trabajo musical esta es la oportunidad de ayudar!",posibilidad grabar estudio cerca si gusta trabajo musical oportunidad ayudar, grabar estudio   trabajo ,17160,50,5500,14,Música
1088,LA VIDA EN SEUL,La vida en Seúl Teatro,Argentina,"El amor como una lejana utopía El amor como una obsesión sin sentido Y, así y todo, una fuerza que nos arrastra y nos conmueve. Y nos exilia",amor lejana utopía amor obsesión así fuerza arrastra conmueve exilia, amor   arrastra conmueve ,3235,49,2300,16,Artes escénicas
1089,COTÍAS: ESTUDIOS,Cotías,Chile,Primer disco de mi proyecto. Es un álbum de metal instrumental que explora distintas afinaciones sobre la guitarra eléctrica de 6 cuerdas,primer disco proyecto álbum metal instrumental explora distintas afinaciones guitarra eléctrica cuerdas, electrica   disco proyecto ,10668,49,4300,21,Música
1090,DISCO TRAMAS - NAHUEN,Nahuen,Argentina,"""Tramas"" es el segundo disco del proyecto de música folklórica Nahuen. Esta campaña de financiamiento es para poder editarlo físicamente.",tramas segundo disco proyecto música folklórica nahuen campaña financiamiento poder editarlo físicamente, editarlo   segundo disco ,6503,49,12600,65,Música
1091,PLURIPOTENTE,Baila polenta,Argentina,Obra colectiva de danza,obra colectiva danza, danza ,16438,49,3500,130,Artes escénicas
1092,5 DIAS,Valentina Mangione,Argentina,¿Qué harías si tuvieras 5 días para enamorarte y no desaparecer? 5 Días es un corto que nos invita a reflexionar sobre la vida y el amor.,harías si días enamorarte desaparecer días corto invita reflexionar vida amor, dias   reflexionar vida ,8088,49,4200,52,Cine y video
1093,REVISTA MAREJADA DE COLECCIÓN,Marejada,Chile,"Te invitamos a ser parte de este increíble proyecto,queremos relanzar Revista de surf Marejada, que en los noventas destapó el surf chileno",invitamos ser parte increíble proyectoqueremos relanzar revista surf marejada noventas destapó surf chileno, surf   ser parte ,142145,49,14400,188,Editorial
1094,CAOS (COMEDIA DE IMPROVISA2),Compania Improvisa2,Argentina,"Somos Mariana ""Cumbi"" Bustinza ; Tomás Cutler y Gaby Gavila ( IMPROVISA2 ) . Queremos concebir ""CAOS"" nuestra nueva comedia teatral .",mariana cumbi bustinza tomás cutler gaby gavila improvisa2 queremos concebir caos nueva comedia teatral, cumbi   nueva comedia ,1601,49,3600,11,Artes escénicas
1095,REVISTA FICCIONARIO,Revista Ficcionario,Argentina,Buscamos lanzar una nueva revista literaria con el objetivo de conformar un circuito nuevo para producciones literarias recientes.,buscamos lanzar nueva revista literaria objetivo conformar circuito nuevo producciones literarias recientes, literaria   literarias   lanzar nueva ,7206,49,8900,1197,Editorial
1096,URBANA (GRABACIÓN DE CD),Vanina Tagini,Argentina,"Hola, soy Vanina Tagini, cantante, y quiero grabar mi álbum de tango Urbana, pero para eso necesito tu colaboración.",hola vanina tagini cantante quiero grabar álbum tango urbana necesito colaboración, vanina   urbana necesito ,15686,48,1700,13,Música
1097,"""OÍR E IR"" - RODRIGO CARAZO",Rodrigo Carazo,Argentina,"""Oír e ir"" es mi nuevo disco, donde entrego toda mi búsqueda artística y personal. Te invito a participar del financiamiento Y que Suene!!!",oír ir nuevo disco entrego toda búsqueda artística personal invito participar financiamiento suene, financiamiento   disco entrego ,7118,48,9900,100,Música
1098,"ÁFRICA, BARRIENDO FRONTERAS",Nacho,Argentina,"Libro de crónicas de viaje por la ruta ""Cape to Cairo"", cruzando todo el continente de punta a punta, por tierra y en transporte público.",libro crónicas viaje ruta cape cairo cruzando continente punta punta tierra transporte público, punta   cronicas   transporte ,6275,48,7500,58,Editorial
1099,EL PISO PARA NUESTRA SALA.,LibelulaSur Teatro,Argentina,Somos LibelulaSur un grupo de teatro independiente y necesitamos de VOS para generar un espacio cultural en nuestro pueblo.,libelulasur grupo teatro independiente necesitamos generar espacio cultural pueblo, cultural   grupo teatro ,28023,48,3400,20,Artes escénicas
1100,LAS PRECIOSAS RIDÍCULAS,María Eugenia Heyaca,Argentina,Una farsa se Molière. AQUI NO SE AMA MAS QUE A LA VANA APARIENCIA.,farsa molière aqui ama vana apariencia, moliere   ama vana ,1152,48,7900,12,Artes escénicas
1101,OJO DE MAR (DOCUMENTAL),Ojo de Mar,Argentina,"En las cordilleras del norte neuquino, con sus cuatro estaciones marcadas, una cultura genuina resiste a desaparecer en el tiempo.",cordilleras norte neuquino cuatro estaciones marcadas cultura genuina resiste desaparecer tiempo, norte   resiste desaparecer ,7642,48,17400,35,Cine y video
1102,MIENTRAS ESPERAMOS,Malena Noel,Argentina,"""Mientras esperamos"" es un proyecto de cortometraje de alumnos de la Universidad del Cine.",mientras esperamos proyecto cortometraje alumnos universidad cine, esperamos   alumnos universidad ,1578,48,2500,12,Cine y video
1103,MADRE MAÑANA,Madre Mañana,Argentina,"Es un cortometraje de Ficción a filmarse en la localidad de Azul, realizado por estudiantes de la Universidad del Cine.",cortometraje ficción filmarse localidad azul realizado estudiantes universidad cine, universidad   ficcion filmarse ,3608,48,7200,137,Cine y video
1104,DOS AÑOS DE VERO VIRA!,verónica virasoro,Argentina,"Sigamos haciendo entre tod@s prendas de excelente calidad, diseños simples y urbanos producidos con conciencia, amor, arte y dedicación!",sigamos haciendo tods prendas excelente calidad diseños simples urbanos producidos conciencia amor arte dedicación, haciendo   amor arte ,6196,47,5500,49,Diseño
1105,SRL LA SERIE,SRL La Serie,Argentina,En el día de integración de una empresa pasan cosas bizarras. Serie de humor sobre la manipulación y alienación laboral.,día integración empresa pasan cosas bizarras serie humor manipulación alienación laboral, integracion   alienacion   manipulacion ,3882,47,5800,278,Cine y video
1106,JUAN EL PIZZERO - SERIE WEB,Belu Morinigo,Argentina,"Un joven pizzero vivirá desopilantes aventuras pero todo cambiará cuando se entere del malvado plan de su intendenta, para ser reelecta",joven pizzero vivirá desopilantes aventuras cambiará entere malvado plan intendenta ser reelecta, pizzero   intendenta ser ,1879,47,1700,19,Cine y video
1107,EL CULTIVADO,EL CULTIVADO,Argentina,El cultivado es un mediometraje ficcional que desde la comedia negra trata las tensiones existentes entre las clases sociales.,cultivado mediometraje ficcional comedia negra trata tensiones existentes clases sociales, clases   mediometraje ficcional ,1536,47,723,4,Cine y video
1108,TRIP-SHIRT,Lorena Valente Pagani,Argentina,"En TRIP-SHIRT diseñamos, creamos y comercializamos accesorios para viaje. Hoy queremos contarte sobre nuestra funda para maletas",tripshirt diseñamos creamos comercializamos accesorios viaje hoy queremos contarte funda maletas, disenamos   contarte funda ,28807,47,7100,20,Diseño
1109,ANIDEAME ¡CD DEBUT DE ANIDEA!,ANIDEA,Argentina,Necesitamos tu colaboración para financiar el lanzamiento de nuestro álbum ¡Anideate con las hermosas recompensas que preparamos para vos!,necesitamos colaboración financiar lanzamiento álbum anideate hermosas recompensas preparamos, colaboracion   hermosas recompensas ,7696,47,2400,36,Música
1110,VISTIENDO A SILENCIO MARIPOSA,Compañía Nuda,Argentina,"Compañía NUDA necesita VESTUARIOS para su espectáculo ""Silencio Mariposa"". Ayudanos a no estar des-NUDAS! y masterizar la música ORIGINAL!",compañía nuda necesita vestuarios espectáculo silencio mariposa ayudanos desnudas masterizar música original, musica   nuda   masterizar ,3121,47,6100,50,Artes escénicas
